category,rank,keyword,change_trend,search_volume
스포츠/레저,168,무릎보호대,-,0
스포츠/레저,169,골프웨어,-,0
스포츠/레저,170,슬라이딩매트,-,0
스포츠/레저,171,여자실내수영복,-,0
스포츠/레저,172,수영복,-,0
스포츠/레저,173,k2패딩,-,0
스포츠/레저,174,로드자전거,-,0
스포츠/레저,175,여성경량패딩,-,0
스포츠/레저,176,아이더트레킹화,-,0
스포츠/레저,177,스노우피크패딩,-,0
스포츠/레저,178,골프거리측정기,-,0
스포츠/레저,179,에어텐트,-,0
스포츠/레저,180,테니스화,-,0
스포츠/레저,181,스노우피크,-,0
스포츠/레저,182,나이키골프화,-,0
스포츠/레저,183,아크테릭스,-,0
스포츠/레저,184,파크골프채,-,0
스포츠/레저,185,여성골프화,-,0
스포츠/레저,186,파타고니아,-,0
스포츠/레저,187,골프공,-,0
스포츠/레저,188,천국의계단,-,0
스포츠/레저,189,골프백,-,0
스포츠/레저,190,캠핑카,-,0
스포츠/레저,191,아레나여성수영복,-,0
스포츠/레저,192,파워뱅크,-,0
스포츠/레저,193,자외선차단마스크,-,0
스포츠/레저,194,스키복,-,0
스포츠/레저,195,풋살화,-,0
스포츠/레저,196,손목보호대,-,0
스포츠/레저,197,폼롤러,-,0
스포츠/레저,198,아디다스골프화,-,0
스포츠/레저,199,등산가방,-,0
스포츠/레저,200,요가매트,-,0
가구/인테리어,201,화장대,-,0
가구/인테리어,202,식탁의자,-,0
가구/인테리어,203,침대프레임,-,0
가구/인테리어,204,행거,-,0
가구/인테리어,205,책상,-,0
가구/인테리어,206,쇼파,-,0
가구/인테리어,207,서랍장,-,0
가구/인테리어,208,침대,-,0
가구/인테리어,209,사이드테이블,-,0
가구/인테리어,210,책장,-,0
가구/인테리어,211,컴퓨터책상,-,0
가구/인테리어,212,옷장,-,0
가구/인테리어,213,식탁,-,0
가구/인테리어,214,소파,-,0
가구/인테리어,215,의자,-,0
가구/인테리어,216,앞치마,-,0
가구/인테리어,217,1인용쇼파,-,0
가구/인테리어,218,수납장,-,0
가구/인테리어,219,싱글침대,-,0
가구/인테리어,220,게이밍의자,-,0
가구/인테리어,221,파티션,-,0
가구/인테리어,222,전신거울,-,0
가구/인테리어,223,슈퍼싱글침대,-,0
가구/인테리어,224,3인용쇼파,-,0
가구/인테리어,225,거실테이블,-,0
가구/인테리어,226,토퍼,-,0
가구/인테리어,227,아일랜드식탁,-,0
가구/인테리어,228,거실장,-,0
가구/인테리어,229,독서실책상,-,0
가구/인테리어,230,접이식매트리스,-,0
가구/인테리어,231,모션데스크,-,0
가구/인테리어,232,벽시계,-,0
가구/인테리어,233,베개,-,0
가구/인테리어,234,벙커침대,-,0
가구/인테리어,235,책상의자,-,0
가구/인테리어,236,접이식테이블,-,0
가구/인테리어,237,매트리스,-,0
가구/인테리어,238,선반,-,0
가구/인테리어,239,틈새수납장,-,0
가구/인테리어,240,6인용식탁,-,0
가구/인테리어,241,신발장,-,0
가구/인테리어,242,2인용쇼파,-,0
가구/인테리어,243,접이식식탁,-,0
가구/인테리어,244,회전책장,-,0
가구/인테리어,245,led전등,-,0
가구/인테리어,246,이불,-,0
가구/인테리어,247,컴퓨터의자,-,0
가구/인테리어,248,화장대의자,-,0
가구/인테리어,249,침대협탁,-,0
가구/인테리어,250,에이스침대,-,0
